"security_id","ticker","issuer_name","sec_cik","effective_from_utc","effective_to_utc","evidence_url","evidence_document","evidence_accession","evidence_raw_sha256","reviewer_status","reason"
"cik:0000004904","AEP","AMERICAN ELECTRIC POWER CO INC","0000004904","2019-07-09 04:00:00+00:00","2026-07-09 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/4904/000119312526223988/d248447d8k.htm","..\data\raw\sec_identity_evidence_20260802\AEP_0001193125-26-223988_d248447d8k.htm","0001193125-26-223988","5f8db92172e1e20b6199b0fc609a1566db6944709e030d67edca3c8495214615","approved","official_sec_filing_cover_lists_trading_symbol"
"cik:0000034088","XOM","EXXON MOBIL CORP","0000034088","2019-07-09 04:00:00+00:00","2026-07-09 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/34088/000119312526291986/d70995d8k.htm","..\data\raw\sec_identity_evidence_20260802\XOM_0001193125-26-291986_d70995d8k.htm","0001193125-26-291986","674a79c646602cb424a215df553ba40e931ec09c9e979bb56879a339b4765b99","approved","official_sec_filing_cover_lists_trading_symbol"
"cik:0000701985","LB","L Brands","0000701985","2019-07-09 04:00:00+00:00","2021-08-03 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/701985/000114036121021578/nt10022999x7_8k.htm","..\data\raw\sec_identity_evidence_20260802\LB_0001140361-21-021578_targeted_nt10022999x7_8k.htm","0001140361-21-021578","9debb05d988432321e199ea7d44f889d2239efc047c90cf4cb42d9868ef2a14c","approved","official_sec_filing_cover_lists_trading_symbol"
"cik:0000813828","PARA","Paramount Global","0000813828","2019-07-09 04:00:00+00:00","2025-08-07 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/813828/000119312525170521/d55470d8k.htm","..\data\raw\sec_identity_evidence_20260802\PARA_0001193125-25-170521_d55470d8k.htm","0001193125-25-170521","b6265c759273a5cd939f5dffeccd6f0bad29423f732eb7420657bb76802e6925","approved","official_sec_filing_cover_lists_trading_symbol"
"cusip:N59465109","MYL","Mylan N.V.","0001623613","2019-07-09 04:00:00+00:00","2020-11-17 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1623613/000162361320000022/myl-20200806.htm","..\data\raw\sec_identity_evidence_20260802\MYL_0001623613-20-000022_targeted_myl-20200806.htm","0001623613-20-000022","00f47c70e594aaac64a43730c73466f5a406b10ab7073de1288ff27d5f5f7007","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:007ad5a651d0e9db02771208","VIAB","Viacom Inc.","0001339947","2019-07-09 04:00:00+00:00","2019-12-05 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1339947/000133994719000043/via2019093010k.htm","..\data\raw\sec_identity_evidence_20260802\VIAB_0001339947-19-000043_via2019093010k.htm","0001339947-19-000043","254bf1f1be29f2953053cd0126e32b95daf954ec1273b059bef508d1fe8701f9","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:026d5c000001b6dd9127af1b","K","KELLANOVA","0000055067","2019-07-09 04:00:00+00:00","2025-12-11 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/55067/000119312525310707/d49614d8k.htm","..\data\raw\sec_identity_evidence_20260802\K_0001193125-25-310707_d49614d8k.htm","0001193125-25-310707","a94b42384005643768376d2c0f290ea87958a278febfba27f81552b2391931d2","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:0378a92d82b08bb9fef6d167","CTXS","CITRIX SYSTEMS INC","0000877890","2019-07-09 04:00:00+00:00","2022-10-03 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/877890/000119312522248803/d400999d8k.htm","..\data\raw\sec_identity_evidence_20260802\CTXS_0001193125-22-248803_d400999d8k.htm","0001193125-22-248803","bd63b1ea9b61a56774b2cd24c09656c574f8c0d545ad60fb5bd26e499e9f8bda","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:03b394e23455c9e52f6f9635","TIF","Tiffany & Co","0000098246","2019-07-09 04:00:00+00:00","2021-01-07 05:00:00+00:00","https://www.sec.gov/Archives/edgar/data/98246/000009824619000123/tif-2019731x10q.htm","..\data\raw\sec_identity_evidence_20260802\TIF_0000098246-19-000123_targeted_tif-2019731x10q.htm","0000098246-19-000123","7a08d0aeeafb5003a656d210a2f40ab6591d2ce82b901ad3c1d8c9287e9e13e7","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:06797bc47a9d0727cfac6843","ETFC","E*TRADE Financial","0001015780","2019-07-09 04:00:00+00:00","2020-10-07 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/1015780/000115752319001607/a52019168.htm","..\data\raw\sec_identity_evidence_20260802\ETFC_0001157523-19-001607_targeted_a52019168.htm","0001157523-19-001607","b21430c511a3d2493fb9677fe06ea9e649639abf21429d81632f0c29b85fe084","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:06bae2877eeca0aaf6da58d3","ALXN","Alexion Pharmaceuticals","0000899866","2019-07-09 04:00:00+00:00","2021-07-21 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/899866/000089986621000021/alxn-20210216.htm","..\data\raw\sec_identity_evidence_20260802\ALXN_0000899866-21-000021_targeted_alxn-20210216.htm","0000899866-21-000021","e463f9624989b471d84ef959254869a6be59e92fbd4061f03a9a2b1080142df3","approved","official_sec_filing_cover_lists_trading_symbol"
"sp500-historical:07f5dc98ae366e5e9dbb272c","NBL","Noble Energy","0000072207","2019-07-09 04:00:00+00:00","2020-10-12 04:00:00+00:00","https://www.sec.gov/Archives/edgar/data/72207/000007220719000093/nbl8-kmarket.htm","..\data\raw\sec_identity_evidence_20260802\NBL_0000072207-19-000093_targeted_nbl8-kmarket.htm","0000072207-19-000093","7323280174cdf92ab6fbd1187b9f08c844b75652fb0602ed24437993519b8797","approved","official_sec_filing_cover_lists_trading_symbol"
